key,ar,de,en,es,fr,hi,hu,id,ja,ko,pt,ru,zh,zh_tw
adult,بالغ,Adult,Adult,Adulto,Adulte,वयस्क,Adult,Dewasa,成体,성체,Adulto,Взрослая особь,成体,成體
april,أبريل,April,Apr.,abril,avril,अप्रैल,április,April,4月,4월,abril,апрель,4月,4月
august,أغسطس,August,Aug.,agosto,août,अगस्त,augusztus,Agustus,8月,8월,agosto,август,8月,8月
chart_by_family,حسب الفصيلة,nach Familie,by Family,por familia,par famille,कुल के अनुसार,család szerint,berdasarkan famili,科別,과별,por família,по семействам,按科,按科
chart_by_order,حسب الرتبة,nach Ordnung,by Order,por orden,par ordre,क्रम के अनुसार,rend szerint,berdasarkan ordo,目別,목별,por ordem,по отрядам,按目,按目
chart_prefecture_axis,المحافظة,Präfektur,Prefecture,prefectura,préfecture,प्रिफेक्चर,prefektúra,prefektur,都道府県,현,prefeitura (Japão),префектура,都道府县,都道府縣
chart_ratio,النسبة (%),Anteil (%),Ratio(%),porcentaje (%),pourcentage (%),प्रतिशत (%),arány (%),persentase (%),割合(%),비율(%),percentagem (%),доля (%),比例（%）,比例（%）
chart_ratio_axis,النسبة (%),Anteil (%),Ratio(%),porcentaje (%),pourcentage (%),प्रतिशत (%),arány (%),persentase (%),割合(%),비율(%),percentagem (%),доля (%),比例（%）,比例（%）
chart_records,عدد السجلات,Anzahl der Nachweise,Number of Records,número de citas,nombre de signalements,प्रमाण-रिकॉर्डों की संख्या,előfordulási adatok száma,jumlah rekaman,記録数,출현 기록 수,número de ocorrências,число находок,出现记录数,出現紀錄數
chart_records_axis,السجلات,Nachweise,Records,citas,signalements,प्रमाण-रिकॉर्ड,előfordulási adatok,rekaman,記録数,출현 기록,ocorrências,находки,出现记录,出現紀錄
chart_species,عدد الأنواع,Anzahl der Arten,Number of Species,número de especies,nombre d’espèces,प्रजातियों की संख्या,fajok száma,jumlah spesies,種数,종 수,número de espécies,число видов,物种数,物種數
chart_species_axis,الأنواع,Arten,Species,especies,espèces,प्रजातियाँ,fajok,spesies,種数,종,espécies,виды,物种,物種
chart_tooltip_ratio,{val}% ({absCount} نوعًا),{val}% ({absCount} Arten),{val}% ({absCount} sp.),{val}% ({absCount} spp.),{val}% ({absCount} spp.),{val}% ({absCount} प्रजातियाँ),{val}% ({absCount} faj),{val}% ({absCount} sp.),{val}% ({absCount}種),{val}% ({absCount}종),{val}% ({absCount} spp.),{val}% ({absCount} видов),{val}%（{absCount} 种）,{val}%（{absCount} 種）
